,brand,price,cartype,model,gearbox,regdate,mileage,motorpower,fuel,car_steering,carcolor,exchange,version,doors,financial,extra,Y
0,ford,31900,hatch,ka,manual,2015,39869,1,flex,elétrica,preto,sim,ka 1.0 se se plus tivct flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
1,vwvolkswagen,26000,passeio,gol,manual,2013,109000,1.6,flex,hidráulica,prata,sim,gol 1.6 mi plus total flex 8v 4p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, som",1
0,vwvolkswagen,43990,hatch,fox,manual,2017,53000,1.6,flex,elétrica,branco,sim,fox pepper 1.6 flex 16v 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
3,ford,23900,0,fiesta,manual,2013,70000,1,flex,hidráulica,preto,sim,fiesta class 1.0 4p,4 portas,ipva pago,0,1
4,ford,44700,passeio,ecosport,manual,2015,80000,0,flex,0,0,0,ecosport freestyle 1.6 16v flex 5p,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica",0
5,vwvolkswagen,42900,0,fox,manual,2016,44200,0,flex,0,0,0,fox plus 1.6mi  1.6mi total flex 8v 4p,0,0,0,0
6,ford,75000,0,focus,automático,2018,25000,2.02.9,flex,elétrica,prata,sim,focus tita tita plus 2.0  flex 5p aut.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
7,vwvolkswagen,30000,pickup,saveiro,manual,2014,101995,1.6,flex,hidráulica,branco,sim,saveiro 1.6 mi  1.6 mi total flex 8v,2 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
8,vwvolkswagen,33900,0,saveiro,manual,2018,29900,1.6,flex,hidráulica,0,0,saveiro robust 1.6 total flex 8v,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme",0
9,vwvolkswagen,67500,passeio,virtus,automático,2018,30000,1,flex,elétrica,cinza,não,virtus highline 200 tsi 1.0 flex 12v aut,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
10,ford,45900,sedã,focus,automático,2016,77000,2.02.9,flex,hidráulica,branco,sim,focus sedan 2.0 16v 2.0 16v flex 4p aut.,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
11,vwvolkswagen,26900,0,voyage,0,2013,69000,1,flex,hidráulica,preto,sim,voyage 1.0 1.0 city mi total flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",1
12,vwvolkswagen,23000,hatch,gol,manual,2014,138,1.6,flex,hidráulica,branco,sim,gol trendline 1.6 t.flex 8v 5p,4 portas,com multas,"air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
13,vwvolkswagen,17000,0,gol,0,2013,110000,0,flex,0,0,sim,gol ecomotion 1.0 mi total flex 8v 2p,0,0,0,0
14,vwvolkswagen,28900,hatch,gol,manual,2013,78000,1.6,flex,hidráulica,preto,sim,gol  novo  1.6 mi total flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
15,vwvolkswagen,32899,hatch,voyage,manual,2014,49000,1,flex,elétrica,preto,0,voyage  trendline 1.0 t.flex 8v 4p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, som, sensor de ré, c mera de ré",1
16,vwvolkswagen,63900,hatch,polo,automático,2018,34170,1,flex,elétrica,azul,não,polo highline 200 tsi 1.0 flex 12v aut.,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
17,ford,39800,passeio,fiesta,manual,2017,33000,1.6,flex,hidráulica,preto,sim,fiesta se 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
18,vwvolkswagen,50900,passeio,polo,manual,2018,19012,1.6,flex,hidráulica,preto,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado, alarme, c mera de ré",0
19,vwvolkswagen,26500,hatch,fox,manual,2013,84259,1.6,flex,hidráulica,preto,não,fox 1.6 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
20,ford,16900,hatch,fiesta,manual,2014,70000,1,flex,hidráulica,branco,0,fiesta s 1.0 8v flex 5p,4 portas,0,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, som, sensor de ré",1
21,ford,58900,suv,ecosport,manual,2017,53000,1.6,flex,elétrica,prata,sim,ecosport freestyle 1.6 16v flex 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
22,vwvolkswagen,37900,0,saveiro,manual,2018,39000,1.6,flex,0,branco,0,saveiro robust 1.6 total flex 8v,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
23,ford,37900,hatch,fiesta,manual,2015,31000,1.5,flex,hidráulica,vermelho,sim,fiesta 1.0i 3p e 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré, c mera de ré",0
24,vwvolkswagen,28693,passeio,gol,manual,2018,0,1.6,flex,hidráulica,branco,sim,0,4 portas,0,"air bag, ar condicionado, alarme",0
25,vwvolkswagen,37900,hatch,fox,semiautomático,2015,52000,1.6,flex,elétrica,branco,sim,fox comfortline i motion 1.6 flex 8v 5p,4 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som, sensor de ré",0
26,vwvolkswagen,25000,hatch,fox,manual,2013,60000,1,flex,hidráulica,prata,sim,fox 1.0 mi total flex 8v 5p,4 portas,ipva pago,"vidro elétrico, trava elétrica, ar condicionado, direção hidráulica, alarme, som",1
27,vwvolkswagen,37000,vanutilitário,saveiro,manual,2014,168000,1.6,flex,hidráulica,preto,sim,saveiro cross 1.6 mi total flex 8v ce,2 portas,ipva pago,"vidro elétrico, air bag, trava elétrica, ar condicionado, direção hidráulica, alarme, som",0
28,vwvolkswagen,38000,passeio,fox,manual,2017,37000,1.6,flex,elétrica,cinza,0,fox comfortline i motion 1.6 flex 8v 5p,4 portas,0,0,0
29,vwvolkswagen,36900,passeio,gol,manual,2018,23500,1.6,flex,hidráulica,cinza,sim,0,4 portas,0,"vidro elétrico, air bag, trava elétrica, ar condicionado",1
