"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N102UW",1998,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N103US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N104UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N105UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N107US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N108UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N109UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N110UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N111US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N11206",2000,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N112US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N113UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N114UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N117UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N118US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N119US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N1200K",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1201P",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N12114",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-jet"
"N121DE",1987,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N121UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N12216",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12218",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12221",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12225",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N122US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N123UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N124DE",1987,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N124US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N125DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N125UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N126DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N127DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N127UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N128DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N128UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N129DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N130DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N13248",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N136DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N13716",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N13718",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N137DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N138DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N139DL",1992,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1402A",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N140LL",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N14214",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14219",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14228",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14230",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14231",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14237",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14242",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14250",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N143DA",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N144DA",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N14704",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N14731",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-jet"
"N150UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N151UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N152DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
