,Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,Classificacao,Observação,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,Sun Jan 08 01:22:05 +0000 2017,���⛪ @ Catedral de Santo Antônio - Governador Valadares/MG https://t.co/JSbKamIqUJ,,,Brasil,Leonardo C Schneider,LeoCSchneider,0,Neutro,,,,,,,,,,,,,,,,
1,Sun Jan 08 01:49:01 +0000 2017,"� @ Governador Valadares, Minas Gerais https://t.co/B3ThIDJCSf",-41.9333,-18.85,,Wândell,klefnews,0,Neutro,,,,,,,,,,,,,,,,
2,Sun Jan 08 01:01:46 +0000 2017,"�� @ Governador Valadares, Minas Gerais https://t.co/dPkgzVR2Qw",-41.9333,-18.85,,Wândell,klefnews,0,Neutro,,,,,,,,,,,,,,,,
3,Wed Jan 04 21:43:51 +0000 2017,��� https://t.co/BnDsO34qK0,,,,Ana estudando,estudandoconcur,0,Neutro,,,,,,,,,,,,,,,,
4,Mon Jan 09 15:08:21 +0000 2017,��� PSOL vai questionar aumento de vereadores e prefeito de BH na Justiça - Politica - Estado de Minas https://t.co/DMg7BGsek5,,,,Emily,Milly777,0,Negativo,,,,,,,,,,,,,,,,
5,Sat Jan 07 13:47:55 +0000 2017,""" bom é bandido morto""
Deputado Cabo Júlio é condenado e fica inelegível por 10 anos - Politica - Estado de Minas https://t.co/3GfAqvrFHS",,,Um Outro Mundo É Possível ,Maristela Guimarães,florpimenta,0,Neutro,,,,,,,,,,,,,,,,
6,Wed Jan 04 23:00:53 +0000 2017,"""..E 25% dos mineiros dizem não torcer para time nenhum,mesmo dentro de um estado com Atlético-MG e Cruzeiro. Pq?.."" https://t.co/fN5evlLQsR",,,,Adriano,almanakfc,0,Neutro,,,,,,,,,,,,,,,,
7,Sun Jan 08 18:34:22 +0000 2017,"""A gigantesca barba do mal"" em destaque no caderno Cultura do Estado de Minas. https://t.co/PxNurIkTlw",,,"Belo Horizonte, Brasil",Editora Nemo,editoranemo,2,Neutro,,,,,,,,,,,,,,,,
8,Wed Jan 04 22:55:08 +0000 2017,"""BB e governo de Minas travam disputa sobre depósitos judiciais"" https://t.co/CnMu2A2Qo5",,,,Minas Previ,MinasPrevi,0,Negativo,,,,,,,,,,,,,,,,
9,Sat Jan 07 01:37:10 +0000 2017,"""com vcs bh fica pequena!"" Belo Horizonte (pron. [bɛloɾiˈzõntʃi][10]) é a capital do estado de MG, com uma área de aproximadamente 331 km²",,,Belo Horizonte - MG,Marina.,mmarinaey,0,Neutro,,,,,,,,,,,,,,,,
