vano,mes,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,total_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,total_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,posse_drogas,trafico_drogas,apreensao_drogas_sem_autor,recuperacao_veiculos,apf,aaapai,cmp,cmba,ameaca,pessoas_desaparecidas,encontro_cadaver,encontro_ossada,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade,indicador_roubo_rua,indicador_roubo_veic,registro_ocorrencias,fase
1991,1,657,,15,,162,3051,,,,350,188,1174,63,967,381,37,,,,,,158,3318,2009,1147,,,,3561,6717,,,,,133,,,,872,,,,,,,217,,,,672,1348,1174,,3
1991,2,732,,17,,175,3421,,,,357,171,1097,64,963,432,35,,,,,,142,3261,1850,1066,,,,3309,6225,,,,,127,,,,751,,,,,,,209,,,,749,1395,1097,,3
1991,3,713,,25,,216,3613,,,,443,191,1265,71,963,422,43,,,,,,131,3529,2084,1062,,,,3573,6719,,,,,80,,,,789,,,,,,,188,,,,738,1385,1265,,3
1991,4,634,,20,,200,3211,,,,425,199,1415,81,1186,354,36,,,,,,112,3808,2085,1195,,,,3290,6570,,,,,133,,,,787,,,,,,,140,,,,654,1540,1415,,3
1991,5,650,,20,,146,3051,,,,553,231,1449,82,931,335,27,,,,,,147,3755,2185,723,,,,3546,6454,,,,,163,,,,845,,,,,,,78,,,,670,1266,1449,,3
1991,6,647,,14,,201,2977,,,,518,178,1354,82,831,342,37,,,,,,81,3423,1992,673,,,,3519,6184,,,,,157,,,,802,,,,,,,111,,,,661,1173,1354,,3
1991,7,558,,14,,201,2784,,,,496,186,1365,82,797,308,25,,,,,,94,3353,1978,700,,,,3604,6282,,,,,203,,,,870,,,,,,,126,,,,572,1105,1365,,3
1991,8,557,,11,,209,3134,,,,498,189,1347,71,813,299,29,,,,,,88,3334,1835,794,,,,3641,6270,,,,,215,,,,809,,,,,,,79,,,,568,1112,1347,,3
1991,9,542,,19,,146,3026,,,,473,199,1353,91,805,281,12,,,,,,90,3304,1993,810,,,,3460,6263,,,,,179,,,,756,,,,,,,71,,,,561,1086,1353,,3
1991,10,613,,21,,200,3482,,,,561,228,1470,83,834,328,16,,,,,,107,3627,1999,862,,,,3621,6482,,,,,184,,,,818,,,,,,,95,,,,634,1162,1470,,3
1991,11,577,,13,,192,3300,,,,569,239,1600,94,978,409,26,,,,,,97,4012,2039,884,,,,3601,6524,,,,,170,,,,886,,,,,,,50,,,,590,1387,1600,,3
1991,12,638,,16,,202,4003,,,,563,242,1563,157,1022,358,24,,,,,,131,4060,1930,1028,,,,3563,6521,,,,,122,,,,905,,,,,,,95,,,,654,1380,1563,,3
1992,1,617,,19,,176,3155,,,,579,271,1801,172,962,373,12,,,,,,126,4296,2357,969,,,,3987,7313,,,,,189,,,,984,,,,,,,90,,,,636,1335,1801,,3
1992,2,691,,27,,184,3413,,,,613,300,1877,200,967,426,28,,,,,,139,4550,2236,937,,,,3713,6886,,,,,154,,,,917,,,,,,,90,,,,718,1393,1877,,3
